teamName,playerMainPosition,offsides,bigChanceCreated,passes,crosses,keyPasses,bigChanceSucc,interceptions,age,shots,bigChanceFaced,fouled,finalThirdPass,thBallSucc,assists,tackles,fouls,playerName,passSucc,country,goalProp,aerialWon,errorsSum,playerId,mans,apps,countryZh,redCards,disp,appsSub,thBall,teamId,finalThirdPassSucc,yelCards,id,rate,longBall,longBallSucc,shotsOTProp,dribbledPast,mins,blocks,shotsOT,goals,clears,crossSucc,offsideWon,dribbles,unsTouches
巴塞罗那,右边锋,0.2,22,64.2286,1.0,2.2,0.607143,0.171429,33,5.6,28,2.82857,38.6,0.3,9,0.514286,0.628571,梅西,85.1423,Argentina,0.153061,0.2,2,787,22,33,阿根廷,0,2.48571,2,0.171429,31,0.791266,4,165471,8.520286,2.02857,0.739583,0.464286,0.314286,3023,0.0,2.6,30,0.0,0.277778,0.0,4.54286,1.62857
拜仁慕尼黑,中锋,0.724138,9,22.7931,0.206897,1.10345,0.537037,0.103448,32,4.72414,54,1.0,11.6552,0.5,7,0.517241,1.41379,莱万多夫斯基,77.1558,Poland,0.29927,1.65517,0,1567,11,28,波兰,0,1.51724,1,0.0344828,57,0.701183,4,163925,8.066551,0.517241,0.625,0.49635,0.37931,2463,0.0344828,2.34483,41,0.37931,0.206897,0.0,0.758621,2.41379
阿贾克斯,左边锋,0.323529,23,33.6765,3.02941,3.76471,0.52381,0.382353,32,2.26471,21,1.08824,21.9118,0.571429,17,0.941176,0.705882,塔迪奇,76.4192,Serbia,0.181818,0.441176,0,381,7,31,塞尔维亚,0,1.67647,3,0.117647,133,0.719463,1,163330,7.878824,0.852941,0.467742,0.415584,0.441176,2610,0.0294118,0.941176,14,0.294118,0.339934,0.0294118,1.35294,1.88235
热刺,中锋,0.371429,14,25.9429,0.2,1.4,0.566667,0.314286,27,3.91429,30,1.71429,12.6857,0.333333,14,0.628571,0.742857,哈里·凯恩,69.9339,England,0.167883,2.17143,0,86,13,35,英格兰,0,1.54286,0,0.0571429,3,0.653153,1,163554,7.787142,1.85714,0.613208,0.386861,0.514286,3086,0.314286,1.51429,23,1.11429,0.184211,0.0,1.48571,1.8
诺维奇,右边锋,0.102564,18,48.4615,1.25641,3.12821,0.444444,1.05128,24,2.84615,18,2.0,25.3846,0.666667,16,2.38462,1.5641,布恩迪亚,78.6243,Argentina,0.135135,0.948718,0,6624,14,39,阿根廷,2,1.76923,0,0.25641,209,0.742424,4,165628,7.784102,3.53846,0.663462,0.342342,1.79487,3340,0.0769231,0.974359,15,1.33333,0.291667,0.0769231,1.61538,2.15385
阿贾克斯,中锋,0.631579,5,28.0,0.0526316,1.21053,0.347826,0.368421,26,2.84211,23,2.15789,15.5263,0.0,5,1.21053,1.36842,阿莱,72.9323,Cote d'Ivoire,0.203704,4.0,0,7773,5,18,科特迪瓦,0,1.84211,1,0.0,133,0.684746,2,169794,7.694736,0.368421,0.636364,0.444444,0.894737,1569,0.0526316,1.26316,11,0.894737,0.166667,0.0,1.10526,3.36842
巴黎圣日耳曼,左边锋,0.166667,13,50.8889,0.944444,3.27778,0.5,0.5,29,3.88889,18,3.72222,30.1111,0.583333,5,0.777778,1.83333,内马尔,79.5852,Brazil,0.128571,0.277778,0,797,5,15,巴西,2,2.66667,3,0.388889,95,0.717712,5,163694,7.688889,2.0,0.553846,0.3,1.61111,1416,0.0,1.16667,9,0.0,0.293103,0.0,4.83333,4.05556
巴黎圣日耳曼,中锋,0.548387,9,30.7097,0.193548,1.06452,0.605263,0.0967742,22,3.35484,38,1.22581,17.7419,0.0,7,0.129032,0.741935,姆巴佩,80.6723,France,0.259615,0.16129,1,7285,6,27,法国,0,1.48387,4,0.0,95,0.723636,5,164501,7.680323,0.225806,0.4375,0.528846,0.225806,2389,0.0322581,1.77419,27,0.0967742,0.113208,0.0,2.90323,2.64516
费耶诺德,右边锋,0.0967742,14,51.0323,1.87097,2.93548,0.5,0.451613,29,3.51613,22,0.83871,25.5161,0.5,12,0.83871,0.483871,博古伊斯,81.0367,Netherlands,0.165138,0.193548,0,4056,8,30,荷兰,1,1.48387,1,0.0967742,143,0.742099,3,163142,7.662903,4.80645,0.680365,0.422018,1.09677,2648,0.0322581,1.48387,18,0.16129,0.281553,0.0322581,1.41935,2.29032
贝西克塔斯,右边锋,0.0,22,44.8064,2.19355,2.87097,0.666667,0.580645,29,1.80645,6,1.54839,19.6774,0.363636,17,1.48387,1.16129,加扎尔,80.2736,Algeria,0.142857,1.09677,1,3021,6,30,阿尔及利亚,0,1.83871,1,0.129032,284,0.716393,5,168126,7.657096,1.96774,0.559633,0.375,1.6129,2421,0.129032,0.677419,8,0.354839,0.307692,0.0,1.83871,1.96774
